Category,Function,File,Line,Code
Configuration/Enum Parsing,toUpperCase(),common/src/main/java/org/keycloak/common/crypto/FipsMode.java,25,"return valueOf(name.toUpperCase().replace('-', '_'));"
Configuration/Enum Parsing,toUpperCase(),common/src/main/java/org/keycloak/common/profile/PropertiesProfileConfigResolver.java,27,return Profile.ProfileName.valueOf(profile.toUpperCase());
Configuration/Enum Parsing,toUpperCase(),core/src/main/java/org/keycloak/protocol/oidc/client/authentication/JWTClientCredentialsProvider.java,128,"KeystoreUtil.KeystoreFormat clientKeystoreFormat = clientKeystoreType==null ? KeystoreUtil.KeystoreFormat.JKS : Enum.valueOf(KeystoreUtil.KeystoreFormat.class, clientKeystoreType.toUpperCase());"
Configuration/Enum Parsing,toUpperCase(),docs/maven-plugin/src/main/java/org/keycloak/guides/maven/Options.java,145,return OptionCategory.valueOf(g.toUpperCase());
Configuration/Enum Parsing,toUpperCase(),federation/ldap/src/main/java/org/keycloak/storage/ldap/mappers/membership/CommonLDAPGroupMapperConfig.java,85,"return Enum.valueOf(LDAPGroupMapperMode.class, modeString.toUpperCase());"
Configuration/Enum Parsing,toUpperCase(),integration/client-cli/admin-cli/src/main/java/org/keycloak/client/admin/cli/commands/AbstractRequestCmd.java,158,outputFormat = OutputFormat.valueOf(format.toUpperCase());
Configuration/Enum Parsing,toUpperCase(),model/jpa/src/main/java/org/keycloak/connections/jpa/DefaultJpaConnectionProviderFactory.java,419,return MigrationStrategy.valueOf(migrationStrategy.toUpperCase());
Configuration/Enum Parsing,toUpperCase(),model/jpa/src/main/java/org/keycloak/models/workflow/WorkflowValidator.java,94,"ResourceOperationType.valueOf(name.replace(""-"", ""_"").toUpperCase());"
Configuration/Enum Parsing,toUpperCase(),model/jpa/src/main/java/org/keycloak/models/workflow/conditions/expression/EventEvaluator.java,18,"ResourceOperationType operation = ResourceOperationType.valueOf(name.replace(""-"", ""_"").toUpperCase());"
Configuration/Enum Parsing,toUpperCase(),model/storage-private/src/main/java/org/keycloak/storage/datastore/DefaultExportImportManager.java,303,newRealm.setSslRequired(SslRequired.valueOf(rep.getSslRequired().toUpperCase()));
Configuration/Enum Parsing,toUpperCase(),model/storage-private/src/main/java/org/keycloak/storage/datastore/DefaultExportImportManager.java,828,if (rep.getSslRequired() != null) realm.setSslRequired(SslRequired.valueOf(rep.getSslRequired().toUpperCase()));
Configuration/Enum Parsing,toUpperCase(),model/storage-services/src/main/java/org/keycloak/exportimport/dir/DirExportProviderFactory.java,59,".withUsersExportStrategy(Enum.valueOf(UsersExportStrategy.class, usersExportStrategy.toUpperCase()))"
Configuration/Enum Parsing,toUpperCase(),quarkus/runtime/src/main/java/org/keycloak/quarkus/runtime/storage/database/jpa/QuarkusJpaConnectionProviderFactory.java,188,return MigrationStrategy.valueOf(migrationStrategy.toUpperCase());
Configuration/Enum Parsing,toUpperCase(),quarkus/tests/junit5/src/main/java/org/keycloak/it/junit5/extension/DistributionType.java,65,return Optional.of(valueOf(distributionType.toUpperCase()));
Configuration/Enum Parsing,toUpperCase(),server-spi/src/main/java/org/keycloak/models/credential/OTPCredentialModel.java,119,if (SecretEncoding.BASE32.equals(SecretEncoding.valueOf(encoding.toUpperCase()))) {
Configuration/Enum Parsing,toUpperCase(),services/src/main/java/org/keycloak/email/DefaultEmailSenderProvider.java,223,return authenticators.get(EmailAuthenticator.AuthenticatorType.valueOf(authType.toUpperCase()));
Configuration/Enum Parsing,toUpperCase(),services/src/main/java/org/keycloak/events/email/EmailEventListenerProviderFactory.java,69,includedEvents.add(EventType.valueOf(i.toUpperCase()));
Configuration/Enum Parsing,toUpperCase(),services/src/main/java/org/keycloak/events/email/EmailEventListenerProviderFactory.java,78,includedEvents.remove(EventType.valueOf(e.toUpperCase()));
Configuration/Enum Parsing,toUpperCase(),services/src/main/java/org/keycloak/events/log/JBossLoggingEventListenerProviderFactory.java,56,"successLevel = Logger.Level.valueOf(config.get(""success-level"", ""debug"").toUpperCase());"
Configuration/Enum Parsing,toUpperCase(),services/src/main/java/org/keycloak/events/log/JBossLoggingEventListenerProviderFactory.java,57,"errorLevel = Logger.Level.valueOf(config.get(""error-level"", ""warn"").toUpperCase());"
Configuration/Enum Parsing,toUpperCase(),services/src/main/java/org/keycloak/keys/AbstractRsaKeyProvider.java,80,"KeyUse keyUse = KeyUse.valueOf(model.get(Attributes.KEY_USE, KeyUse.SIG.name()).toUpperCase());"
Configuration/Enum Parsing,toUpperCase(),services/src/main/java/org/keycloak/organization/admin/resource/OrganizationMemberResource.java,178,"filters.put(MembershipType.NAME, MembershipType.valueOf(membershipType.toUpperCase()).name());"
Configuration/Enum Parsing,toUpperCase(),services/src/main/java/org/keycloak/protocol/oidc/utils/SubjectType.java,11,"return Enum.valueOf(SubjectType.class, subjectTypeStr.toUpperCase());"
Configuration/Enum Parsing,toUpperCase(),services/src/main/java/org/keycloak/services/clientregistration/policy/RegistrationAuth.java,40,"return Enum.valueOf(RegistrationAuth.class, regAuth.toUpperCase());"
Configuration/Enum Parsing,toUpperCase(),services/src/main/java/org/keycloak/services/resources/ThemeResource.java,240,return Optional.of(Theme.Type.valueOf(themeType.toUpperCase()));
